,done
Self-driving cars,0
"Diseases, Cancer, Alzheimer's, Parkinson's (1 of them)",0
Revival of extinct species,0
Fusion,0
"Diseases, Cancer, Alzheimer's, Parkinson's (2 of them)",0
Energy weapons on warships,0
"1 person on Mars (base, as in Antarctica)",0
Carbon capture,0.5
Nano robots (self-replicating) for medicine,1
10 hours from Frankfurt to Sydney,1
Permanent presence of at least 5000 people in space,1
First man turns 150,1
World population reaches peak,1
End of the oil age,1
Work will no longer be necessary for the majority of the working-age (25 to 65) population,1
Asteroid mining,1
Net zero CO2,1
End of capitalism in Europe,1
"Universal translation for some animals (orcas, elephants, monkeys) (1 of them)",1
Cleaning robots (on human level with tidying up),1
Mini atomic power plants,1
Quantum computers,1
World government,1
Humanoid robots in everyday life,1
Majority of world population is atheist,1
Universities will be abolished,1
